يشرب,39
ازف,19
الفراق,71
اودع,16
صامتا,10
مصغ,2
لعتاب,3
فاعتب,1
احيا,58
العتاب,29
مودة,20
تغتال,11
صد,34
الصدود,21
تقرب,12
سيدي,133
مثقل,16
بالحب,101
يلمسه,1
الحنين,168
فيسكب,2
والظلم,15
محب,50
ارضاك,4
ستقال,1
فيك,474
قصاءد,41
ماجورة,2
فالمادحون,1
الجاءعون,3
تاهبوا,1
دعوي,25
الوداد,25
تجول,18
شفاهم,2
فجال,1
اشعب,4
يستوي,23
قلم,20
يباع,10
ويشتري,5
ويراعة,1
بدم,36
المحاجر,10
تكتب,35
شاعر,160
الدنيا,547
تبطن,2
ظهرها,12
شعري,195
يشرق,28
عبرها,4
ويغرب,1
الافلاك,27
كليمة,2
مني,482
شفق,24
الخلود,47
تلهب,13
الوم,24
صنعاء,79
بلقيس,21
عدنا,22
امة,180
ضيعت,34
امسها,4
يزنا,1
لوصنعاء,1
تسمعني,5
وساكني,2
عدن,41
ارهفت,1
اذنا,8
وامة,3
ميلادها,5
يمن,25
قطعت,36
يمنا,3
مزقت,26
نفسي,341
فتي,234
بفتنة,2
الوحدة,22
مفتنا,2
بنيت,14
صرحا,10
اسكنه,4
قبرا,39
نتاج,1
سكنا,12
وصغت,6
وهج,51
الاحلام,203
مدنا,21
واليوم,82
وهجا,9
ارجو,64
احسبني,3
باغت,2
يقتل,32
الاقيال,4
فانتدبي,1
اليهم,46
الهدهد,5
الوفي,9
بما,514
اءتمنا,1
قولي,63
انتم,77
ناظري,25
قذي,12
وانتم,42
معرض,10
اضلعي,57
وضنا,1
رجالا,25
ضيعوا,6
وطنا,47
امراة,157
تستنقذ,1
الوطنا,1
لغلام,1
المدل,11
الجميلات,5
مشي,52
يتهادي,20
مهفهف,11
القد,21
اكحل,8
جفونه,10
ناعمات,4
والقلب,74
كسرة,16
جندل,5
بيبي,3
عشقناك,1
عشقا,31
بعضه,33
قيس,44
يذهل,8
المحيط,33
خليج,13
هفا,12
فهام,4
فهرول,1
تريد,82
فانا,160
ستامر,1
نفعل,3
سلما,26
وارضا,5
العدل,114
اعدل,4
نسف,4
بيوت,29
اهلا,57
وسهلا,7
تفضل,7
خذ,59
الصغار,50
ضحايا,29
مذابح,4
هيكل,15
اردت,44
كبارا,10
فكل,88
شيخ,75
مبجل,1
رمت,75
نزع,13
سلاح,17
شرطة,4
فتوكل,1
احتلالا,1
مجدا,67
فقم,13
احتل,7
يهوذا,11
السامرا,1
فتجول,1
بستان,27
جدك,7
ياهو,1
حزقل,1
وبنت,6
عمك,4
سارا,5
وجدها,10
الحبر,39
هرزل,1
تضق,5
بك,267
ارض,273
وتوغل,2
النيل,40
يتمني,10
جءته,18
تغسل,32
الفرات,40
حنين,89
لبشرة,1
مخمل,9
ونحن,142
اراض,3
يك,38
عصبة,37
تطفل,1
رضيت,25
بقينا,6
غضبت,9
فنرحل,1
اشرت,4
اكلنا,3
نجع,1
نتوسل,3
حنانا,20
بشعب,2
لاعج,10
اعول,3
تقسو,7
وتجفو,1
كغادة,1
قلبها,48
مل,41
اتخذناك,1
صديقا,28
وحسبناك,2
اخا,57
برا,27
شقيقا,1
واخذناك,1
اضلاعنا,1
وسقيناك,1
واقتسمنا,1
الخبز,44
معا,119
وكتبنا,3
بالدما,11
عهدا,37
وثيقا,2
وزرعناك,1
اجفانا,8
ونشرنا,2
فوقك,5
الهدب,11
الوريقا,1
وزعمناك,1
تبرق,8
سنا,63
وكسوناك,1
بريقا,9
سيفنا,3
اهدي,44
قلبنا,11
الجرح,144
العميقا,1
درعنا,2
حربة,6
ظهرنا,4
